distCode,distName,officeCode,officeName,shopNo,month,year,noOfRcs,noOfTrans,riceAfsc,riceFsc,riceAap,wheat,sugar,rgdal,kerosene,totalAmount,salt,otherShopTransCnt
532,Adilabad,532001,Talamadugu,1901001,4,2024,951,951,1330.0,17280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
532,Adilabad,532001,Talamadugu,1901002,4,2024,507,507,630.0,9648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
532,Adilabad,532001,Talamadugu,1901003,4,2024,265,265,560.0,4844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
532,Adilabad,532001,Talamadugu,1901004,4,2024,367,368,490.0,7185.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15
532,Adilabad,532001,Talamadugu,1901005,4,2024,920,920,5390.0,16170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
532,Adilabad,532001,Talamadugu,1901006,4,2024,484,486,1365.0,8340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
532,Adilabad,532001,Talamadugu,1901007,4,2024,490,496,385.0,8808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
532,Adilabad,532001,Talamadugu,1901008,4,2024,350,351,2310.0,5610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
532,Adilabad,532001,Talamadugu,1901009,4,2024,309,309,770.0,6570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
532,Adilabad,532001,Talamadugu,1901010,4,2024,889,895,4025.0,16302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
532,Adilabad,532001,Talamadugu,1901011,4,2024,508,508,245.0,9417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
532,Adilabad,532001,Talamadugu,1901012,4,2024,808,810,980.0,15468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
532,Adilabad,532001,Talamadugu,1901013,4,2024,431,431,805.0,8070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
532,Adilabad,532001,Talamadugu,1901014,4,2024,162,162,280.0,2976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
