distCode,distName,officeCode,officeName,shopNo,month,year,noOfRcs,noOfTrans,riceAfsc,riceFsc,riceAap,wheat,sugar,rgdal,kerosene,totalAmount,salt,otherShopTransCnt
532,Adilabad,532001,Talamadugu,1901001,2,2024,919,920,1330.0,16893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
532,Adilabad,532001,Talamadugu,1901002,2,2024,519,519,700.0,9810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
532,Adilabad,532001,Talamadugu,1901003,2,2024,264,265,560.0,4836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
532,Adilabad,532001,Talamadugu,1901004,2,2024,369,370,490.0,7259.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17
532,Adilabad,532001,Talamadugu,1901005,2,2024,904,906,5215.0,15905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
532,Adilabad,532001,Talamadugu,1901006,2,2024,492,494,1365.0,8466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
532,Adilabad,532001,Talamadugu,1901007,2,2024,499,513,385.0,8952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
532,Adilabad,532001,Talamadugu,1901008,2,2024,348,349,2275.0,5646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
532,Adilabad,532001,Talamadugu,1901009,2,2024,316,317,770.0,6696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
532,Adilabad,532001,Talamadugu,1901010,2,2024,891,897,4060.0,16355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
532,Adilabad,532001,Talamadugu,1901011,2,2024,519,520,245.0,9731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
532,Adilabad,532001,Talamadugu,1901012,2,2024,816,819,980.0,15564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
532,Adilabad,532001,Talamadugu,1901013,2,2024,430,431,805.0,8034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
532,Adilabad,532001,Talamadugu,1901014,2,2024,169,169,315.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
532,Adilabad,532001,Talamadugu,1901015,2,2024,335,335,2065.0,5010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
532,Adilabad,532001,Talamadugu,1901016,2,2024,766,766,1855.0,15126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
532,Adilabad,532002,Tamsi,1902001,2,2024,685,685,1815.0,11740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
532,Adilabad,532002,Tamsi,1902002,2,2024,478,479,1260.0,9786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
532,Adilabad,532002,Tamsi,1902003,2,2024,322,323,770.0,5796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
532,Adilabad,532002,Tamsi,1902004,2,2024,234,234,420.0,3930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
